Feature_1,Feature_2,Interaction_Strength
GCS at Admission,APACHE II,0.05658108286700767
Age,APACHE II,0.043398874601836446
Age,GCS at Admission,0.034332519929167186
GCS at Admission,ICU Anxiety Score,0.026458233316077273
ICU LOS (days),ICU Anxiety Score,0.02502497272114156
Age,ICU Anxiety Score,0.024400160944463577
GCS at Admission,Mech. Ventilation (days),0.02426629251163971
Education (years),ICU LOS (days),0.02293308836835701
Age,ICU LOS (days),0.022841236882963405
Age,Education (years),0.022793979536297797
GCS at Admission,ICU LOS (days),0.022255445787933266
Age,Delirium,0.02194846239920973
Delirium,ICDSC Score,0.021233591263103112
GCS at Admission,ICP (mmHg),0.02088270855361165
Education (years),GCS at Admission,0.020425222361306776
APACHE II,ICU Anxiety Score,0.019970194286580468
APACHE II,ICP (mmHg),0.019173522889953092
Education (years),APACHE II,0.01897897436112926
APACHE II,ICU LOS (days),0.017888673903017554
APACHE II,Mech. Ventilation (days),0.01786449142660351
GCS at Admission,Delirium,0.01766029535941798
ICU LOS (days),Diagnosis,0.016937779196244077
Marital Status,GCS at Admission,0.01626018382930694
Age,Mech. Ventilation (days),0.016111655420868825
Education (years),ICDSC Score,0.016080653482640737
APACHE II,Delirium,0.01587578359232605
ICU Anxiety Score,ICP (mmHg),0.015202233409978231
Education (years),ICU Anxiety Score,0.014811989901495081
ICU LOS (days),ICP (mmHg),0.014748705786150756
ICU LOS (days),Delirium,0.014709312915704119
