Outcome,Independent_R2,Independent_R2_std,Chained_MTL_R2,Chained_MTL_R2_std,Delta_R2,Improvement_pct,Domain
Gose,0.3171125056850159,0.06276502278687987,0.3171125056850159,0.06276502278687987,0.0,0.0,Functional
Mrs,0.23456375517266875,0.048005714234151765,0.23456375517266875,0.048005714234151765,0.0,0.0,Functional
Fim Total,0.3997986388829055,0.05961141643788637,0.3997986388829055,0.05961141643788637,0.0,0.0,Functional
Barthel,0.3724533644313466,0.05057855348338316,0.3724533644313466,0.05057855348338316,0.0,0.0,Functional
Drs,0.10327792941266292,0.06843769011476533,0.10327792941266292,0.06843769011476533,0.0,0.0,Functional
Cog Composite,0.21285247845577748,0.02140370583015664,0.2238668728610671,0.041965252144346356,0.011014394405289618,5.174661101058301,Cognitive
Cog Memory,0.05678941416548526,0.05968030877215288,0.06348121610131077,0.03754018077532847,0.0066918019358255115,11.783537538044492,Cognitive
Cog Executive,-0.052361022675505776,0.0379366551115553,-0.03855266236189274,0.061382440471249716,0.013808360313613037,26.371448852683542,Cognitive
Cog Attention,0.0691279869745179,0.03991850792377386,0.054647572139096726,0.06394972587671463,-0.014480414835421174,-20.947253737851465,Cognitive
Moca,0.06016271602143144,0.029536919563524024,0.04457519401906351,0.04925373454683943,-0.015587522002367925,-25.90894000998104,Cognitive
Hads Anxiety,0.32739945137358534,0.01711544590531269,0.3412665814448592,0.022241320645355795,0.013867130071273881,4.235538579278353,Psychiatric
Hads Depression,0.06256313603282186,0.045096395593211776,0.055114613268472314,0.04040046831955629,-0.007448522764349548,-11.905609655567625,Psychiatric
Phq9,0.2709016767232987,0.060419799563010426,0.28536769057267086,0.04179965148780375,0.014466013849372183,5.339949912583189,Psychiatric
Gad7,0.1882538058257438,0.041780452126824824,0.22225906603617568,0.07381809435878861,0.034005260210431876,18.063518058120255,Psychiatric
Pcl5,0.23018455741059257,0.038257157247273896,0.2728177450860909,0.032553614704955595,0.04263318767549834,18.5213066224296,Psychiatric
Sf36 Pcs,-0.007219498625869525,0.09248646851527555,-0.023950705345062405,0.12352448632150301,-0.01673120671919288,-231.75025837999593,QoL/Participation
Sf36 Mcs,0.05337593023121741,0.04938724257627913,-0.015737254832632285,0.08933547144912694,-0.0691131850638497,-129.4838043373869,QoL/Participation
Qolibri Os,0.017764738101922205,0.03299000056391779,-0.022925000483377443,0.05730842732435494,-0.040689738585299645,-229.04778191408786,QoL/Participation
Mpai4 Tscore,-0.08480949429311821,0.06142112642781566,-0.14861836652446098,0.10763042214923928,-0.06380887223134277,-75.23788788411686,QoL/Participation
Social Participation,0.0034081192940809356,0.05594364432868911,0.02022596787861697,0.07615219744552845,0.016817848584536034,493.46419926510487,QoL/Participation
