outcome,metric,n_train,mean,sd,n_reps
GOSE 12m,R²,250,0.33857843959282147,0.03214557652675552,5
GOSE 12m,R²,500,0.3744935610409085,0.008312832961979455,5
GOSE 12m,R²,750,0.39585242214899685,0.009615619775667487,5
GOSE 12m,R²,1000,0.393923172350075,0.004566866769473489,5
GOSE 12m,R²,1500,0.39892610839746645,0.002196912760253094,5
GOSE 12m,R²,2000,0.39892610839746645,0.002196912760253094,5
FIM Total 12m,R²,250,0.4757586781060207,0.009839560125112829,5
FIM Total 12m,R²,500,0.4907946427293858,0.007099487711924071,5
FIM Total 12m,R²,750,0.49382269714952437,0.005767492113432162,5
FIM Total 12m,R²,1000,0.49164916184719,0.005494086537153399,5
FIM Total 12m,R²,1500,0.49589288436888124,0.0008703027997623024,5
FIM Total 12m,R²,2000,0.49589288436888124,0.0008703027997623024,5
HADS-Anxiety 12m,R²,250,0.41066948807113574,0.023505820406162895,5
HADS-Anxiety 12m,R²,500,0.44267728628099395,0.007440891817788534,5
HADS-Anxiety 12m,R²,750,0.44854082193593403,0.006588389143195003,5
HADS-Anxiety 12m,R²,1000,0.4586322355388191,0.0021463896440744538,5
HADS-Anxiety 12m,R²,1500,0.458162958979816,0.0012034492893331398,5
HADS-Anxiety 12m,R²,2000,0.458162958979816,0.0012034492893331398,5
MoCA 12m,R²,250,0.08418121228350861,0.037003181976288116,5
MoCA 12m,R²,500,0.09025021046195247,0.01476482372350387,5
MoCA 12m,R²,750,0.10254461575425755,0.006756939532556136,5
MoCA 12m,R²,1000,0.10702372960676101,0.006132377943282611,5
MoCA 12m,R²,1500,0.10494271205828838,0.003345812815954775,5
MoCA 12m,R²,2000,0.10494271205828838,0.003345812815954775,5
Mortality,AUC,250,0.5654295966509403,0.032281972130376035,5
Mortality,AUC,500,0.5801814074024852,0.018798116203093,5
Mortality,AUC,750,0.5977241012691874,0.005738679768546888,5
Mortality,AUC,1000,0.6095022925111303,0.009176414006981912,5
Mortality,AUC,1500,0.6209482357631737,0.003608794404509471,5
Mortality,AUC,2000,0.6164130507010434,0.0030646270749849266,5
Return-to-Work,AUC,250,0.7602133333333334,0.008115324324319294,5
Return-to-Work,AUC,500,0.7990266666666666,0.01185262090097468,5
Return-to-Work,AUC,750,0.8066933333333333,0.008581074783757846,5
Return-to-Work,AUC,1000,0.8094266666666666,0.007560082304078694,5
Return-to-Work,AUC,1500,0.8227466666666666,0.0023049319102982765,5
Return-to-Work,AUC,2000,0.8227466666666666,0.0023049319102982765,5
