outcome,metric,k_features,score
GOSE 12m,R²,5,0.3705747268491765
GOSE 12m,R²,10,0.39866011309798843
GOSE 12m,R²,15,0.3988043918352159
GOSE 12m,R²,20,0.40195043292271526
GOSE 12m,R²,27,0.4001146877309524
FIM Total 12m,R²,5,0.48887024765082043
FIM Total 12m,R²,10,0.4960687752527081
FIM Total 12m,R²,15,0.4974452800453827
FIM Total 12m,R²,20,0.4962681567364412
FIM Total 12m,R²,27,0.49705056482664633
HADS-Anxiety 12m,R²,5,0.38789457309636166
HADS-Anxiety 12m,R²,10,0.46640895730648535
HADS-Anxiety 12m,R²,15,0.454343902882013
HADS-Anxiety 12m,R²,20,0.45763248733905426
HADS-Anxiety 12m,R²,27,0.4585425869231745
MoCA 12m,R²,5,0.11414464921800327
MoCA 12m,R²,10,0.11471220144630889
MoCA 12m,R²,15,0.11673813685798418
MoCA 12m,R²,20,0.10625985012337102
MoCA 12m,R²,27,0.1091143569458628
Mortality,AUC,5,0.6163117150641239
Mortality,AUC,10,0.6084125191042594
Mortality,AUC,15,0.6059538839790019
Mortality,AUC,20,0.6182968968037744
Mortality,AUC,27,0.6072662635391055
Return-to-Work,AUC,5,0.7506666666666667
Return-to-Work,AUC,10,0.7590666666666667
Return-to-Work,AUC,15,0.8286666666666667
Return-to-Work,AUC,20,0.8286666666666667
Return-to-Work,AUC,27,0.8293999999999999
