outcome,metric,miss_rate,mean,sd
GOSE 12m,R²,0.0,0.4001103519887823,0.0
GOSE 12m,R²,0.05,0.39727025280849304,0.0028219517628521457
GOSE 12m,R²,0.1,0.39427360787300264,0.0029249647384184656
GOSE 12m,R²,0.15,0.3900282298632871,0.005395425799200947
GOSE 12m,R²,0.2,0.3861951809614731,0.007620805878165805
FIM Total 12m,R²,0.0,0.4970500598881501,0.0
FIM Total 12m,R²,0.05,0.49630010524325224,0.0016044648482383792
FIM Total 12m,R²,0.1,0.4947008464910237,0.0034060016545453837
FIM Total 12m,R²,0.15,0.49061232783443065,0.003785918761395432
FIM Total 12m,R²,0.2,0.488278297430458,0.003297139724055286
HADS-Anxiety 12m,R²,0.0,0.4585417703628907,0.0
HADS-Anxiety 12m,R²,0.05,0.4538675469230987,0.0030727965492230065
HADS-Anxiety 12m,R²,0.1,0.4547762360081632,0.004484163971485862
HADS-Anxiety 12m,R²,0.15,0.4542267579080511,0.007292769416251053
HADS-Anxiety 12m,R²,0.2,0.45316270651307544,0.0053587921755552876
MoCA 12m,R²,0.0,0.10911440416295082,0.0
MoCA 12m,R²,0.05,0.10786478538174546,0.0030218574264414097
MoCA 12m,R²,0.1,0.10295110431048671,0.0029682962895999803
MoCA 12m,R²,0.15,0.09708992817449799,0.006939137058428935
MoCA 12m,R²,0.2,0.0942149265466875,0.005397831812138476
Mortality,AUC,0.0,0.6207223071300418,0.0
Mortality,AUC,0.05,0.6169679048441756,0.004864171846989143
Mortality,AUC,0.1,0.6130507010432587,0.0033288264190795484
Mortality,AUC,0.15,0.613632135025583,0.005005009128021151
Mortality,AUC,0.2,0.6143830154827563,0.00429751697718957
Return-to-Work,AUC,0.0,0.8186,0.0
Return-to-Work,AUC,0.05,0.8245733333333334,0.00527578956702747
Return-to-Work,AUC,0.1,0.8262933333333333,0.0038189236412604303
Return-to-Work,AUC,0.15,0.8205866666666667,0.003673424076314156
Return-to-Work,AUC,0.2,0.8140666666666666,0.006212818290527335
